epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4161,1.25387,2.76382,1.69809,0.00309,0.92683,0.47306,0.22086,1.34785,3.64232,2.36393,0.00016,0.00016,0.00016
2,88.9943,1.13096,2.4474,1.63319,0.00317,0.95122,0.41929,0.20851,1.66942,3.78004,2.59051,0.000336634,0.000336634,0.000336634
3,127.724,1.12455,2.10793,1.60235,0.00325,0.97561,0.4324,0.19938,1.44301,3.68305,2.41118,0.000509704,0.000509704,0.000509704
4,168.088,1.16963,1.91868,1.64749,1,0.2673,0.55866,0.27728,1.62711,3.55999,2.62299,0.00067921,0.00067921,0.00067921
5,206.456,1.26533,1.93232,1.66619,0.00325,0.97561,0.22924,0.05767,1.96128,3.98799,3.2018,0.000845152,0.000845152,0.000845152
6,244.3,1.24613,1.79607,1.71096,0.38284,0.09128,0.26661,0.07065,2.22369,3.90328,4.19503,0.00100753,0.00100753,0.00100753
7,284.749,1.29097,1.74937,1.7325,0.26229,0.12195,0.15529,0.05381,2.08195,3.98382,3.50895,0.00116634,0.00116634,0.00116634
8,322.23,1.32395,1.70324,1.75398,0.44385,0.26829,0.26219,0.09922,2.12569,3.81566,3.23348,0.00132159,0.00132159,0.00132159
9,359.849,1.34594,1.75555,1.74655,0.27131,0.34514,0.27178,0.07216,1.87774,3.32446,3.07945,0.00147328,0.00147328,0.00147328
10,397.055,1.42084,1.79055,1.80469,0.26701,0.21951,0.17277,0.04216,3.02434,3.97257,4.21398,0.0016214,0.0016214,0.0016214
11,435.97,1.44888,1.76045,1.8206,0.19522,0.36585,0.17767,0.04216,2.30881,3.55923,3.37621,0.00176596,0.00176596,0.00176596
12,476.037,1.39378,1.68181,1.81233,0.20831,0.2439,0.11246,0.02372,2.73906,4.17762,4.64635,0.0017822,0.0017822,0.0017822
13,517.906,1.41246,1.73543,1.82575,0.37699,0.43902,0.25021,0.05698,2.39611,3.65479,4.53432,0.0017624,0.0017624,0.0017624
14,558.661,1.40024,1.63986,1.83789,0.33236,0.5122,0.31353,0.08197,2.3565,3.12855,4.3481,0.0017426,0.0017426,0.0017426
15,600.616,1.42266,1.63788,1.84772,0.22544,0.4878,0.20917,0.04404,2.28486,3.18699,4.09598,0.0017228,0.0017228,0.0017228
16,675.865,1.40363,1.61671,1.84274,0.71412,0.30499,0.41635,0.1317,2.53775,3.06495,4.12894,0.001703,0.001703,0.001703
17,716.729,1.42106,1.59489,1.79841,0.25706,0.31707,0.2261,0.05832,2.81906,3.20642,4.28944,0.0016832,0.0016832,0.0016832
18,760.448,1.40975,1.57165,1.82289,0.34225,0.53659,0.32906,0.08723,2.19513,2.92086,3.36628,0.0016634,0.0016634,0.0016634
19,801.292,1.39876,1.54519,1.81936,0.30006,0.57515,0.31148,0.11053,2.27942,3.50639,3.64693,0.0016436,0.0016436,0.0016436
20,842.741,1.36225,1.42936,1.7779,0.45939,0.6426,0.51488,0.18945,2.23626,2.97487,3.4685,0.0016238,0.0016238,0.0016238
21,883.385,1.43145,1.45792,1.80563,0.49182,0.49584,0.45233,0.14166,2.11617,2.77962,3.15064,0.001604,0.001604,0.001604
22,922.441,1.29719,1.35341,1.7255,0.38453,0.53659,0.4239,0.09858,2.44082,2.58573,3.84567,0.0015842,0.0015842,0.0015842
23,990.103,1.29183,1.32916,1.7267,0.35444,0.57592,0.37466,0.10273,2.12512,2.63831,3.10765,0.0015644,0.0015644,0.0015644
24,1031.03,1.35673,1.36512,1.78009,0.44019,0.60976,0.50215,0.14928,2.07361,2.6032,3.19467,0.0015446,0.0015446,0.0015446
25,1070.88,1.23536,1.28852,1.65849,0.60799,0.64322,0.59609,0.21059,2.03659,2.2006,3.15671,0.0015248,0.0015248,0.0015248
26,1110.61,1.27754,1.32578,1.72237,0.67174,0.5492,0.57908,0.20097,2.11711,2.24107,3.51796,0.001505,0.001505,0.001505
27,1152.36,1.31072,1.33535,1.72521,0.60675,0.58537,0.58722,0.22416,2.21848,2.18204,3.52685,0.0014852,0.0014852,0.0014852
28,1192.84,1.30107,1.3382,1.73088,0.48741,0.53659,0.41293,0.12075,2.16404,2.35079,3.05517,0.0014654,0.0014654,0.0014654
29,1231.52,1.21807,1.35425,1.63296,0.47872,0.55998,0.56769,0.23416,1.84279,2.21303,2.89047,0.0014456,0.0014456,0.0014456
30,1269.38,1.27385,1.26669,1.67869,0.75407,0.59848,0.71481,0.34068,1.77917,1.93193,2.82783,0.0014258,0.0014258,0.0014258
31,1306.22,1.21389,1.27686,1.65091,0.66134,0.63415,0.67662,0.3073,1.81728,2.08605,2.61728,0.001406,0.001406,0.001406
32,1345.08,1.22278,1.20054,1.63024,0.57769,0.70732,0.5904,0.23675,2.42931,1.92605,3.55194,0.0013862,0.0013862,0.0013862
33,1384.02,1.2811,1.16849,1.68171,0.73319,0.6704,0.73005,0.27546,2.12101,1.79457,3.22349,0.0013664,0.0013664,0.0013664
34,1423.16,1.11321,1.03264,1.56287,0.67277,0.80237,0.72502,0.30771,2.20671,1.59144,3.50339,0.0013466,0.0013466,0.0013466
